RSL/X7/CARBON,http://seizoroi.com/api/diamond.html
N8118,http://seizoroi.com/api/nova.html
201801/XXL,http://seizoroi.com/api/dallas.html
201801/XL,http://seizoroi.com/api/dallas.html
201801/L,http://seizoroi.com/api/dallas.html
201801/M,http://seizoroi.com/api/dallas.html
201801/S,http://seizoroi.com/api/dallas.html
201801/XS,http://seizoroi.com/api/dallas.html
201801/14,http://seizoroi.com/api/dallas.html
201801/12,http://seizoroi.com/api/dallas.html
201801/10,http://seizoroi.com/api/dallas.html
201801/8,http://seizoroi.com/api/dallas.html
201801/6,http://seizoroi.com/api/dallas.html
201007/12,http://seizoroi.com/api/short.html
201007/8,http://seizoroi.com/api/short.html
201007/XXXL,http://seizoroi.com/api/short.html
201007/10,http://seizoroi.com/api/short.html
201007/14,http://seizoroi.com/api/short.html
201007/XXL,http://seizoroi.com/api/short.html
201007/XS,http://seizoroi.com/api/short.html
201007/XL,http://seizoroi.com/api/short.html
201007/S,http://seizoroi.com/api/short.html
201007/M,http://seizoroi.com/api/short.html
201007/L,http://seizoroi.com/api/short.html
